country,city,lat,lon,temp,max_temp,humid,cover,wind
US,{'makakilo city'},21.3469,-158.0858,80.67,81.28,74,83,8.48
CK,{'avarua'},-21.2078,-159.775,71.65,71.65,94,75,8.05
IR,{'shushtar'},32.0455,48.8567,101.05,101.05,10,0,3.11
US,{'laguna'},38.421,-121.4238,93.88,104.22,29,1,1.01
LR,{'harper'},4.375,-7.7169,78.21,78.21,78,76,11.54
RU,{'svetlyy'},54.675,20.1347,59.05,59.05,80,2,10.71
RU,{'shirokiy'},49.758,129.523,51.42,51.42,83,0,2.64
CN,{'jinchang'},38.4953,102.1739,65.8,65.8,55,100,3.42
ZA,{'hermanus'},-34.4187,19.2345,57.79,57.79,82,7,17.16
CL,{'punta arenas'},-53.15,-70.9167,48.31,48.31,76,75,6.91
AO,{'namibe'},-15.1961,12.1522,64.36,64.36,91,54,15.35
US,{'ukiah'},39.1502,-123.2078,92.19,105.12,25,1,3.44
AR,{'general pico'},-35.6566,-63.7568,57.22,57.22,36,0,7.29
EC,{'puerto ayora'},-0.7393,-90.3518,71.55,80.56,86,46,8.99
AU,{'carnarvon'},-24.8667,113.6333,48.27,48.27,44,0,10.36
US,{'broome'},42.2506,-75.833,85.91,89.06,68,38,3.0
AO,{'malanje'},-9.5402,16.341,75.78,75.78,16,4,4.23
GL,{'ilulissat'},69.2167,-51.1,40.57,40.57,90,100,3.71
TO,{'vaini'},-21.2,-175.2,66.36,66.36,88,90,9.22
GL,{'qaanaaq'},77.484,-69.3632,42.75,42.75,86,100,5.57
PT,{'ribeira grande'},38.5167,-28.7,75.6,75.6,83,20,12.66
US,{'ahuimanu'},21.4447,-157.8378,81.07,82.45,73,90,9.22
LY,{'mizdah'},31.4451,12.9801,92.48,92.48,13,2,10.98
US,{'albany'},42.6001,-73.9662,89.19,91.62,67,22,8.28
PG,{'vanimo'},-2.6741,141.3028,76.98,76.98,90,100,6.85
JP,{'katsuura'},35.1333,140.3,78.91,78.91,89,100,8.61
RU,{'chokurdakh'},70.6333,147.9167,58.42,58.42,52,100,12.19
US,{'kapaa'},22.0752,-159.319,78.33,82.38,76,100,1.99
PT,{'lagoa'},39.05,-27.9833,72.34,72.34,85,9,20.45
ZA,{'bredasdorp'},-34.5322,20.0403,52.92,57.27,66,1,6.91
GL,{'qasigiannguit'},68.8193,-51.1922,41.65,41.65,91,100,3.65
US,{'sitka'},57.0531,-135.33,57.09,57.09,82,75,6.91
PF,{'rikitea'},-23.1203,-134.9692,71.4,71.4,67,2,11.97
AR,{'mar del plata'},-38.0023,-57.5575,50.02,50.02,66,75,11.5
GL,{'upernavik'},72.7868,-56.1549,42.67,42.67,87,97,21.47
ID,{'amuntai'},-2.4177,115.2494,73.2,73.2,97,99,0.85
ZA,{'cape town'},-33.9258,18.4232,56.7,58.1,81,40,8.01
AU,{'busselton'},-33.65,115.3333,48.04,48.09,80,54,8.97
CA,{'yellowknife'},62.456,-114.3525,59.52,59.52,47,75,9.22
US,{'jamestown'},42.097,-79.2353,84.96,86.18,68,100,8.01
NZ,{'mataura'},-46.1927,168.8643,49.48,49.48,72,100,7.94
TW,{'yilan'},24.757,121.753,82.0,82.26,92,100,2.06
