country,city,lat,lon,temp,max_temp,humid,cover,wind
US,{'albany'},42.6001,-73.9662,83.77,87.75,76,35,4.41
ID,{'manggar'},-2.8833,108.2667,81.9,81.9,75,41,13.42
TZ,{'kilindoni'},-7.9139,39.6668,75.83,75.83,69,0,14.85
ZA,{'east london'},-33.0153,27.9116,61.11,61.11,68,9,17.49
AU,{'busselton'},-33.65,115.3333,47.05,47.05,78,35,5.5
GL,{'qaanaaq'},77.484,-69.3632,42.17,42.17,88,100,2.84
CL,{'punta arenas'},-53.15,-70.9167,46.51,46.51,81,75,9.22
PF,{'rikitea'},-23.1203,-134.9692,72.03,72.03,70,11,12.5
AU,{'karratha'},-20.7377,116.8463,60.78,60.78,22,0,18.05
AU,{'rockhampton'},-23.3833,150.5,66.09,66.09,77,20,11.5
CA,{'clyde river'},70.4692,-68.5914,47.14,47.14,62,46,4.52
RU,{'lesozavodsk'},45.4794,133.4244,63.73,63.73,68,88,3.06
CA,{'haines junction'},60.7522,-137.5108,58.95,58.95,44,100,3.44
ZA,{'cape town'},-33.9258,18.4232,52.07,53.11,92,79,1.99
ZA,{'hermanus'},-34.4187,19.2345,49.8,50.9,85,76,18.28
US,{'kahului'},20.8947,-156.47,85.17,87.82,66,40,21.85
MV,{'hithadhoo'},-0.6,73.0833,80.94,80.94,72,100,7.09
NO,{'vardo'},70.3705,31.1107,51.58,51.58,98,51,5.84
ZA,{'port elizabeth'},-33.918,25.5701,55.69,55.69,82,0,9.22
MU,{'mahebourg'},-20.4081,57.7,70.09,71.26,88,40,9.22
GL,{'ilulissat'},69.2167,-51.1,48.22,48.22,71,20,6.91
CK,{'avarua'},-21.2078,-159.775,75.25,75.25,88,90,8.05
SD,{'umm kaddadah'},13.6017,26.6876,82.56,82.56,59,99,7.63
AR,{'mar del plata'},-38.0023,-57.5575,46.42,46.42,71,75,5.75
AZ,{'mincivan'},39.0294,46.7185,78.55,78.55,39,0,0.22
US,{'saint anthony'},45.0205,-93.218,82.51,84.13,31,1,4.0
NO,{'oksfjord'},70.2396,22.3479,55.47,55.47,98,100,5.84
